Feature,Coefficient,Odds_Ratio
num__Age,2.0284348575424107,7.602178550083432
num__Height_cm,0.24975838321775845,1.2837152120750743
num__Weight_kg,-0.459916470289747,0.631336378649284
num__BMI,1.041915053729462,2.83464030823848
num__Waist_Circumference_cm,-0.08807519136791297,0.9156920219989965
num__Body_Fat_Percentage,0.010202605401678617,1.0102548294361346
num__Exercise_Hours_Per_Week,0.07850679853339,1.0816707089117108
num__Daily_Steps,0.0018998606887878776,1.0019016665675646
num__Water_Intake_L,0.008199200879696231,1.0082329063836517
num__Sodium_Intake_mg,0.004479324755803706,1.0044893719268504
num__Fast_Food_Frequency_Per_Week,-0.04509117589973206,0.9559103218760563
num__Sleep_Duration_Hours,-0.025813711063012588,0.974516614364364
num__Diabetes,0.8763020693863511,2.402000830440143
num__Hypertension,0.8607460619342254,2.364924415784971
num__Cardiovascular_Disease,0.03472283083117288,1.0353327067216154
num__Heart_Failure,0.0049783714731504196,1.0049907841541768
num__Hyperlipidemia,-0.03024573125261549,0.9702070940491725
num__Kidney_Stones,0.15314618440984223,1.1654953437390942
num__Recurrent_UTI,-0.01230722672308763,0.9877681974538218
num__Autoimmune_Disease,0.19815044948233368,1.2191457998791047
num__Family_History_CKD,-0.028959562179600735,0.9714557472253771
num__Obesity,-0.33362494065558873,0.7163223952590988
num__Heart_Rate,-0.020097383167342824,0.9801032231030204
num__Respiratory_Rate,-0.01445565091863992,0.9856483303610856
num__Oxygen_Saturation,-0.015593768258659428,0.9845271850236342
num__Systolic_BP,-0.21777456704303094,0.8043067384770188
num__Diastolic_BP,-0.23454252631689124,0.7909325977258819
num__NSAID_Usage,-0.1567831352436638,0.8548894341050969
num__Annual_Checkups,0.4126642401740266,1.510837662172051
num__Health_Insurance,0.029338109262073357,1.029772711312576
num__Annual_Household_Income_USD,-0.0241445536654676,0.9761445942796457
num__Pulse_Pressure,-0.11015371431147755,0.8956964433521054
num__Waist_to_Height,0.06848581918384435,1.070885438813772
num__Lifestyle_Risk,0.3249169261494571,1.3839156740013692
num__Metabolic_Risk,0.6142906324795969,1.848344978508388
num__CV_Risk,-0.0028860753919807114,0.9971180853199315
num__Poor_Sleep,-0.05337994138986309,0.9480197521054852
cat__Sex_Female,0.3484586915610314,1.4168820125304016
cat__Sex_Male,-0.7434233406695212,0.47548338457387346
cat__Ethnicity_Asian,-0.16680021888547603,0.8463686829267439
cat__Ethnicity_Black,-0.1424947307896663,0.8671921236979159
cat__Ethnicity_Hispanic,-0.052868862131376704,0.9485043891708487
cat__Ethnicity_Other,0.006407742258144453,1.006428315758322
cat__Ethnicity_White,-0.03920857956030392,0.961550128525567
cat__Country_Australia,-0.1217715459624675,0.8853506073214846
cat__Country_Canada,-0.07191950914810007,0.9306057980501609
cat__Country_India,-0.07605952737391558,0.9267610372665612
cat__Country_Other,-0.05904871202982459,0.942660849115283
cat__Country_UK,-0.027772430630336586,0.9726096777897939
cat__Country_USA,-0.038392923964260826,0.9623347422125472
cat__Residence_Type_Rural,-0.2136701010947524,0.807614772309075
cat__Residence_Type_Urban,-0.18129454801311365,0.8341896136124537
cat__Education_Level_Bachelor's,-0.0792989864564359,0.9237636903196607
cat__Education_Level_Graduate,-0.1367681213550717,0.8721724408502941
cat__Education_Level_High School,-0.0774752190100741,0.9254499576785591
cat__Education_Level_Less than High School,-0.04374889659781002,0.9571942820394027
cat__Education_Level_Some College,-0.05767342568984338,0.9439581695933917
cat__Socioeconomic_Status_High,-0.26423243799566903,0.7677950541706294
cat__Socioeconomic_Status_Low,-0.09335134038237454,0.9108734174556357
cat__Socioeconomic_Status_Middle,-0.037380870731381036,0.963309169202337
cat__Smoking_Status_Current,0.05044929243459317,1.0517435306489573
cat__Smoking_Status_Former,-0.23769024767763738,0.788446876524379
cat__Smoking_Status_Never,-0.20772369386497178,0.812431485505957
cat__Alcohol_Consumption_Heavy,-0.28174768675840195,0.75446402178278
cat__Alcohol_Consumption_Moderate,-0.11321696234991459,0.892956901069938
cat__Physical_Activity_Level_Active,-0.19842431325501694,0.8200218331750915
cat__Physical_Activity_Level_Light,-0.04739585879641923,0.953709788446364
cat__Physical_Activity_Level_Moderate,-0.12217963185803776,0.8849893819365076
cat__Physical_Activity_Level_Sedentary,-0.026964845199652757,0.9733954604459245
cat__Stress_Level_High,-0.10805574053254208,0.897577563584627
cat__Stress_Level_Low,-0.17318670997343386,0.8409805807232759
cat__Stress_Level_Moderate,-0.11372219860384712,0.8925058608208557
cat__Blood_Pressure_Category_Elevated,-0.49289591627317075,0.6108548458060781
cat__Blood_Pressure_Category_Hypertension Stage 1,-0.34889216608535517,0.7054691996739121
cat__Blood_Pressure_Category_Hypertension Stage 2,0.24815422360246522,1.281657578801673
cat__Blood_Pressure_Category_Hypertensive Crisis,0.16084032273540205,1.1744974133058608
cat__Blood_Pressure_Category_Normal,0.03782888691242568,1.0385535075760763
cat__Employment_Status_Employed,-0.36005546930689974,0.6976376275220844
cat__Employment_Status_Unemployed/Retired,-0.034909179802584844,0.9656931167145223
